onset	duration	trial_type	image_number	calories	text	food_rating
10	2.5	calorie image	0021.jpg	260	260 calories	2
15	2.5	calorie image	0117.jpg	180	180 calories	1
17.5	2.5	calorie image	0145.jpg	370	370 calories	1
20	2.5	calorie image	0248.jpg	20	20 calories	4
22.5	2.5	calorie image	0476.jpg	380	380 calories	2
25	2.5	calorie image	0086.jpg	750	750 calories	2
30	2.5	calorie image	0062.jpg	190	190 calories	4
32.5	2.5	calorie image	0425.jpg	380	380 calories	4
35	2.5	calorie image	0503.jpg	610	610 calories	3
37.5	2.5	calorie image	0281.jpg	80	80 calories	4
40	2.5	calorie image	0026.jpg	180	180 calories	1
42.5	2.5	calorie image	0116.jpg	310	310 calories	2
45	2.5	calorie image	0041.jpg	190	190 calories	2
47.5	2.5	calorie image	0294.jpg	20	20 calories	4
52.5	2.5	calorie image	0089.jpg	470	470 calories	2
55	2.5	calorie image	0445.jpg	760	760 calories	4
57.5	2.5	calorie image	0440.jpg	520	520 calories	4
60	2.5	calorie image	0405.jpg	500	500 calories	1
67.5	2.5	calorie image	0407.jpg	630	630 calories	1
75	2.5	calorie image	0453.jpg	680	680 calories	3
77.5	2.5	calorie image	0493.jpg	450	450 calories	2
80	2.5	calorie image	0193.jpg	80	80 calories	2
82.5	2.5	calorie image	0419.jpg	250	250 calories	4
92.5	2.5	calorie image	0489.jpg	290	290 calories	4
95	2.5	calorie image	0094.jpg	390	390 calories	1
100	2.5	calorie image	0136.jpg	180	180 calories	2
105	2.5	calorie image	0433.jpg	280	280 calories	4
110	2.5	calorie image	0138.jpg	190	190 calories	2
112.5	2.5	calorie image	0066.jpg	500	500 calories	3
115	2.5	calorie image	0486.jpg	660	660 calories	3
122.5	2.5	calorie image	0458.jpg	160	160 calories	1
130	2.5	calorie image	0199.jpg	60	60 calories	4
132.5	2.5	calorie image	0474.jpg	680	680 calories	1
135	2.5	calorie image	0435.jpg	250	250 calories	3
140	2.5	calorie image	0174.jpg	550	550 calories	2
142.5	2.5	calorie image	0292.jpg	150	150 calories	4
147.5	2.5	calorie image	0438.jpg	410	410 calories	1
150	2.5	calorie image	0159.jpg	210	210 calories	2
152.5	2.5	calorie image	0449.jpg	790	790 calories	2
155	2.5	calorie image	0456.jpg	750	750 calories	1
157.5	2.5	calorie image	0477.jpg	370	370 calories	1
160	2.5	calorie image	0279.jpg	110	110 calories	3
162.5	2.5	calorie image	0155.jpg	140	140 calories	3
165	2.5	calorie image	0255.jpg	40	40 calories	4
172.5	2.5	calorie image	0058.jpg	310	310 calories	2
177.5	2.5	calorie image	0479.jpg	690	690 calories	2
182.5	2.5	calorie image	0287.jpg	300	300 calories	2
190	2.5	calorie image	0466.jpg	90	90 calories	2
195	2.5	calorie image	0186.jpg	110	110 calories	3
197.5	2.5	calorie image	0056.jpg	280	280 calories	3
200	2.5	calorie image	0295.jpg	200	200 calories	2
202.5	2.5	calorie image	0421.jpg	480	480 calories	3
205	2.5	calorie image	0001.jpg	400	400 calories	4
210	2.5	calorie image	0446.jpg	720	720 calories	2
215	2.5	calorie image	0451.jpg	480	480 calories	1
217.5	2.5	calorie image	0006.jpg	400	400 calories	2
220	2.5	calorie image	0005.jpg	90	90 calories	3
222.5	2.5	calorie image	0488.jpg	420	420 calories	2
225	2.5	calorie image	0161.jpg	210	210 calories	2
227.5	2.5	calorie image	0482.jpg	240	240 calories	1
232.5	2.5	calorie image	0409.jpg	720	720 calories	2
240	2.5	calorie image	0119.jpg	240	240 calories	2
245	2.5	calorie image	0426.jpg	630	630 calories	2
247.5	2.5	calorie image	0280.jpg	30	30 calories	4
252.5	2.5	calorie image	0495.jpg	150	150 calories	3
257.5	2.5	calorie image	0167.jpg	450	450 calories	2
260	2.5	calorie image	0072.jpg	360	360 calories	2
262.5	2.5	calorie image	0140.jpg	180	180 calories	2
265	2.5	calorie image	0083.jpg	300	300 calories	2
272.5	2.5	calorie image	0168.jpg	150	150 calories	2
275	2.5	calorie image	0434.jpg	640	640 calories	2
280	2.5	calorie image	0450.jpg	540	540 calories	3
282.5	2.5	calorie image	0487.jpg	550	550 calories	1
290	2.5	calorie image	0436.jpg	250	250 calories	3
292.5	2.5	calorie image	0408.jpg	460	460 calories	1
297.5	2.5	calorie image	0308.jpg	70	70 calories	2
300	2.5	calorie image	0401.jpg	360	360 calories	2
302.5	2.5	calorie image	0465.jpg	470	470 calories	4
305	2.5	calorie image	0085.jpg	1050	1050 calories	1
315	2.5	calorie image	0311.jpg	240	240 calories	1
317.5	2.5	calorie image	0439.jpg	620	620 calories	2
320	2.5	calorie image	0127.jpg	240	240 calories	3
322.5	2.5	calorie image	0304.jpg	490	490 calories	1
325	2.5	calorie image	0017.jpg	1170	1170 calories	1
330	2.5	calorie image	0025.jpg	180	180 calories	1
332.5	2.5	calorie image	0500.jpg	670	670 calories	1
335	2.5	calorie image	0065.jpg	870	870 calories	2
340	2.5	calorie image	0504.jpg	750	750 calories	1
