onset	duration	trial_type	image_number	presented_calories	actual_calories	text	food_rating
7.5	2.5	food image	0180.jpg	100	86.25	image 0180	2
10	2.5	food image	0484.jpg	700	704	image 0484	2
12.5	2.5	food image	0118.jpg	450	445	image 0118	3
15	2.5	food image	0004.jpg	100	97	image 0004	3
20	2.5	food image	0422.jpg	750	880	image 0422	2
22.5	2.5	food image	0127.jpg	240	243.75	image 0127	3
27.5	2.5	food image	0068.jpg	570	672	image 0068	2
30	2.5	food image	0119.jpg	240	206	image 0119	2
35	2.5	food image	0491.jpg	310	310	image 0491	3
37.5	2.5	food image	0289.jpg	220	259	image 0289	3
40	2.5	food image	0436.jpg	250	290	image 0436	3
42.5	2.5	food image	0115.jpg	680	594	image 0115	3
52.5	2.5	food image	0421.jpg	480	420	image 0421	2
55	2.5	food image	0420.jpg	160	160	image 0420	3
65	2.5	food image	0155.jpg	140	122	image 0155	2
70	2.5	food image	0104.jpg	120	119	image 0104	2
72.5	2.5	food image	0199.jpg	60	51	image 0199	4
77.5	2.5	food image	0080.jpg	340	343	image 0080	3
80	2.5	food image	0033.jpg	350	348	image 0033	3
82.5	2.5	food image	0430.jpg	360	420	image 0430	2
87.5	2.5	food image	0006.jpg	400	396	image 0006	3
90	2.5	food image	0008.jpg	60	69.4	image 0008	2
92.5	2.5	food image	0053.jpg	310	267	image 0053	2
97.5	2.5	food image	0452.jpg	290	340	image 0452	2
102.5	2.5	food image	0280.jpg	30	38	image 0280	3
105	2.5	food image	0504.jpg	750	650	image 0504	3
107.5	2.5	food image	0063.jpg	130	156.8	image 0063	2
117.5	2.5	food image	0503.jpg	610	530	image 0503	3
120	2.5	food image	0482.jpg	240	210	image 0482	1
125	2.5	food image	0085.jpg	1050	910	image 0085	2
127.5	2.5	food image	0307.jpg	240	212.5	image 0307	3
130	2.5	food image	0169.jpg	200	231	image 0169	2
135	2.5	food image	0089.jpg	470	413	image 0089	3
137.5	2.5	food image	0161.jpg	210	209.658	image 0161	3
142.5	2.5	food image	0083.jpg	300	301.2	image 0083	4
145	2.5	food image	0123.jpg	330	391	image 0123	2
150	2.5	food image	0282.jpg	110	128	image 0282	3
152.5	2.5	food image	0287.jpg	300	260	image 0287	3
160	2.5	food image	0433.jpg	280	280	image 0433	1
162.5	2.5	food image	0424.jpg	650	650	image 0424	2
167.5	2.5	food image	0186.jpg	110	97.16	image 0186	2
170	2.5	food image	0255.jpg	40	40.5	image 0255	2
172.5	2.5	food image	0134.jpg	300	299	image 0134	3
175	2.5	food image	0498.jpg	1180	1030	image 0498	3
177.5	2.5	food image	0110.jpg	360	310	image 0110	2
182.5	2.5	food image	0311.jpg	240	242	image 0311	4
185	2.5	food image	0500.jpg	670	670	image 0500	3
187.5	2.5	food image	0022.jpg	750	648.9	image 0022	1
192.5	2.5	food image	0409.jpg	720	720	image 0409	3
197.5	2.5	food image	0419.jpg	250	250	image 0419	2
200	2.5	food image	0043.jpg	110	107	image 0043	1
202.5	2.5	food image	0014.jpg	360	359.56	image 0014	3
205	2.5	food image	0477.jpg	370	430	image 0477	1
207.5	2.5	food image	0479.jpg	690	602	image 0479	3
210	2.5	food image	0010.jpg	350	347.5	image 0010	3
212.5	2.5	food image	0094.jpg	390	340	image 0094	2
215	2.5	food image	0140.jpg	180	182	image 0140	4
220	2.5	food image	0241.jpg	170	147	image 0241	2
222.5	2.5	food image	0405.jpg	500	500	image 0405	2
225	2.5	food image	0426.jpg	630	630	image 0426	2
227.5	2.5	food image	0113.jpg	160	163	image 0113	2
240	2.5	food image	0167.jpg	450	530	image 0167	3
242.5	2.5	food image	0073.jpg	560	484	image 0073	3
245	2.5	food image	0165.jpg	200	202	image 0165	3
255	2.5	food image	0418.jpg	150	150	image 0418	2
262.5	2.5	food image	0206.jpg	30	32	image 0206	4
265	2.5	food image	0005.jpg	90	88.02	image 0005	3
267.5	2.5	food image	0237.jpg	500	500	image 0237	2
270	2.5	food image	0495.jpg	150	182	image 0495	2
272.5	2.5	food image	0041.jpg	190	227	image 0041	3
275	2.5	food image	0474.jpg	680	595	image 0474	3
282.5	2.5	food image	0174.jpg	550	545	image 0174	3
285	2.5	food image	0102.jpg	330	391	image 0102	2
287.5	2.5	food image	0472.jpg	1180	1029	image 0472	3
290	2.5	food image	0425.jpg	380	450	image 0425	3
292.5	2.5	food image	0488.jpg	420	420	image 0488	1
297.5	2.5	food image	0401.jpg	360	360	image 0401	2
300	2.5	food image	0002.jpg	910	907	image 0002	2
305	2.5	food image	0465.jpg	470	410	image 0465	2
310	2.5	food image	0450.jpg	540	630	image 0450	4
312.5	2.5	food image	0487.jpg	550	549	image 0487	4
315	2.5	food image	0435.jpg	250	250	image 0435	2
317.5	2.5	food image	0441.jpg	770	670	image 0441	3
320	2.5	food image	0467.jpg	440	520	image 0467	2
322.5	2.5	food image	0440.jpg	520	520	image 0440	2
325	2.5	food image	0293.jpg	80	73	image 0293	3
327.5	2.5	food image	0058.jpg	310	360	image 0058	2
335	2.5	food image	0166.jpg	210	212	image 0166	4
337.5	2.5	food image	0423.jpg	100	90	image 0423	2
340	2.5	food image	0446.jpg	720	715	image 0446	3
